,STUDENT_NUM,STUDY_PROGRAM,ACADEMIC_YEAR,START_DATE,END_DATE,ENROLLMENT_TYPE,EXAM_TYPE,FULL_TIME_PART,PROGRAM_ACTIVE_CODE,DATE_ACTIVE_CODE_MODIFIED,HIGHER_EDU_REGISTER,DATE_REGIS_PROOF,ESTABLISHMENT_LOCATION,REGISTRATION_STATUS,PRIOR_EDU_STATUS,LANGUAGE_TEST_RESULTS,UPPER_YEAR_STUDENT_REQUEST,DATE_ENROLLMENT_REQUEST,FINANCING,STUDY_CHECK_PARTICIPATION,FLEXIBLE_STUDY_PARTICIPATION,EXAM_ADMINISTERED,DATE_EXAM_STARTED,EXAM_PROG_DETAILS,DATE_EXAM_CONDUCTED,EXAM_FINAL_RESULT,FIRST_DEGREE_CLASSIFICATION,EXAM_REGISTRATION_DATE,DATE_EXAM_DETAILS_MODIFIED,EXAM_DETAILS_SENT_DUO,FROZEN_STUDENT_STATUS,HONORS_PROG_PARTICIPATION,PRIOR_EDUCATION,PRIOR_FINAL_EXAM_DATE,SCHOOL_DESCRIPTION,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_VERIFICATION_STATUS,PRIOR_VERIFICATION_DATE,PRIOR_EDUCATION_DESCRIPTION,BIRTH_DATE,GENDER,NATIONALITY,YEAR_STARTED_HU,PREFERRED_EDUCATION,PRIOR_QUALIFICATION_TYPE,INFO_CURRENT,PRIOR_EDUCATION_IBG,STUDENT_AGE,ENROLLMENT_WINDOW,PRIOR_EXAM_YEAR,EXAM_BEFORE_ENROLLMENT_STATUS,DROPOUT_RISK,YEAR
40830,432448,BJDE,2021,2021-09-01,2021-11-12,S,D,V,4.0,2021-07-21,34092.0,2021-07-29,UTRECHT,U,S,N,N,2021-06-09,J,NVT,N,B,2021-09-01,JDE-BV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2021-12-03,N,1997-08-22,M,NL,2020.0,J,HBO,J,591,23,12,2019,done,1,2021
40932,445479,BOEVWIS2,2021,2021-09-01,2022-08-31,S,B,D,4.0,2021-07-27,35221.0,2021-07-29,UTRECHT,I,S,N,N,2021-07-16,J,NVT,N,B,2020-09-01,OAWIS-HFDT-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2020-06-23,N,1972-09-14,V,NL,2020.0,J,HBO,J,591,48,7,2019,done,1,2021
40964,326948,BJDE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-27,34092.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-15,J,NVT,N,D,2018-09-01,JCB-DV-18,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,373,2016-06-30,30DU00,J,GD,2016-06-30,N,1999-06-03,M,NL,2018.0,N,HAVO,J,373,22,11,2016,done,1,2021
40965,358305,BMIBU,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-16,30029.0,2021-08-17,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,D,2017-09-01,MBIB-DV-17-FT,2018-11-07,passed,N,2018-12-20,2018-12-14,J,J,N,SL 00591-03,2019-06-12,25DW00,N,N,2013-03-21,N,1999-06-23,V,NL,2017.0,N,HBO,J,591,22,4,2019,pending,0,2021
40982,437896,BGHBZO,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-12,34538.0,2021-07-29,AMERSFOORT,I,S,N,N,2021-06-11,J,NVT,N,B,2021-09-01,GZO-HF.V-21,2024-06-30,passed,J,2015-05-29,2024-07-22,N,J,N,25145,2020-07-07,25PX00,J,GD,2020-07-07,J,2000-03-25,V,SPA,2020.0,J,MBO,J,25145,21,12,2020,pending,0,2021
40985,407420,BGHBMO,2021,2021-09-01,2022-08-31,S,D,V,0.0,2021-01-15,34576.0,2021-07-29,UTRECHT,G,N,N,N,2021-01-15,J,NVT,N,D,2021-09-01,GIBS-PROP.VT-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,370,2020-08-28,30PK,J,GD,2020-08-28,J,1999-10-31,M,NL,2021.0,N,HAVO,J,370,21,33,2020,done,1,2021
41044,290683,BOTANED2,2021,2021-09-01,2022-06-23,S,D,D,4.0,2021-07-27,35198.0,2021-07-29,UTRECHT,U,S,N,N,2021-07-17,J,NVT,N,B,2014-09-01,GVE-HF-14,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,591,2019-06-12,25DW00,N,N,2013-03-21,N,1993-01-07,M,NL,2013.0,J,HBO,J,591,28,7,2019,pending,1,2021
41183,296084,BMFC,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-23,35520.0,2021-08-24,UTRECHT,I,S,N,N,2021-08-19,J,NVT,N,B,2015-09-01,MEBE-BV-14,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,611,2019-12-20,25DW00,J,GD,2019-12-20,N,1993-04-26,M,NL,2014.0,J,HBO,J,611,28,2,2019,pending,1,2021
41188,296084,BMFC,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-23,35520.0,2021-08-24,UTRECHT,I,S,N,N,2021-08-19,J,NVT,N,B,2015-09-01,MEBE-BV-14,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,SL 00591-02,2019-06-12,25DW00,N,N,2013-03-21,N,1993-04-26,M,NL,2014.0,N,HBO,J,591,28,2,2019,pending,1,2021
41209,445282,BJJO,2021,2021-09-01,2022-02-06,S,D,V,4.0,2021-08-25,34686.0,2021-08-26,UTRECHT,U,S,N,N,2021-06-20,J,NVT,N,D,2020-09-01,JJO-DV-20,2022-02-06,passed,N,2022-03-15,2022-02-28,J,J,N,611,2022-02-06,25DW00,J,GD,2022-02-06,N,2000-11-18,V,NL,2020.0,J,HBO,J,611,20,10,2022,pending,0,2021
41314,387663,BTICIC,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-02,30020.0,2021-08-03,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,B,2020-09-01,TICT-VBAOPIC-20,2023-06-23,CL,J,2023-07-05,2023-06-29,J,J,N,370,2018-06-13,00MK00,J,GD,2018-06-13,J,2001-03-10,M,NL,2018.0,N,HAVO,J,370,20,4,2018,pending,0,2021
41392,436068,BAIV,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-22,39268.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-18,J,NVT,N,D,2020-09-01,AIV-PROPV-20,2021-06-25,passed,N,2021-09-10,2021-07-15,J,J,N,373,2020-06-04,03XS00,J,GD,2020-06-04,N,2003-05-08,V,NL,2020.0,J,HAVO,J,373,18,11,2020,pending,0,2021
41422,274166,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-22,J,NVT,N,D,2017-09-01,APE-PROPV-17,2019-04-12,passed,N,2019-06-12,2019-05-23,J,J,N,00741-1,2019-06-12,25DW00,N,N,2013-03-21,N,1994-07-11,V,NL,2013.0,N,WO,J,741,27,1,2019,pending,0,2021
41435,434214,BASW,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-22,34116.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,B,2021-09-01,ASW-BACHV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,373,2018-06-13,02UE00,J,GD,2018-06-13,J,2000-12-18,V,NL,2020.0,J,HAVO,J,373,20,12,2018,done,1,2021
41479,436154,BJCB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-10,35516.0,2021-08-12,UTRECHT,I,S,N,N,2021-06-10,J,NVT,N,B,2021-09-01,JCB-BV-21,2024-06-14,passed,J,2015-05-29,2024-06-20,N,J,N,173,2019-06-12,30UB00,J,GD,2019-06-12,J,2001-08-27,V,NL,2020.0,J,VWO,J,173,19,12,2019,done,0,2021
41630,445315,BGHBFA,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-29,34090.0,2021-08-03,UTRECHT,I,S,N,N,2021-07-14,J,NVT,N,B,2021-09-01,GFA-HF.VT-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2013-03-21,N,1999-02-03,V,NL,2020.0,J,HBO,J,591,22,7,2019,done,1,2021
41698,376335,BGHBFY,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-05,34570.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-15,J,NVT,N,D,2018-09-01,GIBS-PROP.VT-18,2020-07-06,passed,N,2020-07-22,2020-07-08,J,J,N,371,2017-06-30,02TE00,J,GD,2017-06-30,J,2000-02-18,V,NL,2018.0,N,HAVO,J,371,21,11,2017,done,0,2021
41760,434214,BASW,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-22,34116.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,D,2020-09-01,ASW-PROPV-20,2021-06-28,passed,N,2021-09-20,2021-07-07,J,J,N,591,2019-06-12,27NF01,N,N,2013-03-21,N,2000-12-18,V,NL,2020.0,J,HBO,J,591,20,12,2019,done,0,2021
41771,326948,BJDE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-27,34092.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-15,J,NVT,N,D,2019-09-01,JDE-DV-19,2021-03-26,passed,N,2021-05-25,2021-04-20,J,J,N,591,2019-06-12,07GR06,N,N,2013-03-21,N,1999-06-03,M,NL,2018.0,J,HBO,J,591,22,11,2019,pending,0,2021
